naics_code,kind_of_business,sales_month,sales
,"Retail and food services sales, total",1/1/24,637342
,"Retail and food services sales, total",2/1/24,644825
,"Retail and food services sales, total",3/1/24,707637
,"Retail and food services sales, total",4/1/24,700302
,"Retail and food services sales, total",5/1/24,744554
,"Retail and food services sales, total",6/1/24,701555
,"Retail and food services sales, total",7/1/24,726098
,"Retail and food services sales, total",8/1/24,733560
,"Retail and food services sales, total",9/1/24,683558
,"Retail and food services sales, total",10/1/24,730720
,"Retail and food services sales, total",11/1/24,736461
,"Retail and food services sales, total",12/1/24,801294
,Retail sales and food services excl motor vehicle and parts,1/1/24,519395
,Retail sales and food services excl motor vehicle and parts,2/1/24,518529
,Retail sales and food services excl motor vehicle and parts,3/1/24,567110
,Retail sales and food services excl motor vehicle and parts,4/1/24,561592
,Retail sales and food services excl motor vehicle and parts,5/1/24,599690
,Retail sales and food services excl motor vehicle and parts,6/1/24,570931
,Retail sales and food services excl motor vehicle and parts,7/1/24,585742
,Retail sales and food services excl motor vehicle and parts,8/1/24,590123
,Retail sales and food services excl motor vehicle and parts,9/1/24,555090
,Retail sales and food services excl motor vehicle and parts,10/1/24,592932
,Retail sales and food services excl motor vehicle and parts,11/1/24,602249
,Retail sales and food services excl motor vehicle and parts,12/1/24,661017
,Retail sales and food services excl gasoline stations,1/1/24,590937
,Retail sales and food services excl gasoline stations,2/1/24,597462
,Retail sales and food services excl gasoline stations,3/1/24,654589
,Retail sales and food services excl gasoline stations,4/1/24,645366
,Retail sales and food services excl gasoline stations,5/1/24,686946
,Retail sales and food services excl gasoline stations,6/1/24,646232
,Retail sales and food services excl gasoline stations,7/1/24,668631
,Retail sales and food services excl gasoline stations,8/1/24,676701
,Retail sales and food services excl gasoline stations,9/1/24,632095
,Retail sales and food services excl gasoline stations,10/1/24,676690
,Retail sales and food services excl gasoline stations,11/1/24,687273
,Retail sales and food services excl gasoline stations,12/1/24,752889
,Retail sales and food services excl motor vehicle and parts and gasoline stations,1/1/24,472990
,Retail sales and food services excl motor vehicle and parts and gasoline stations,2/1/24,471166
,Retail sales and food services excl motor vehicle and parts and gasoline stations,3/1/24,514062
,Retail sales and food services excl motor vehicle and parts and gasoline stations,4/1/24,506656
,Retail sales and food services excl motor vehicle and parts and gasoline stations,5/1/24,542082
,Retail sales and food services excl motor vehicle and parts and gasoline stations,6/1/24,515608
,Retail sales and food services excl motor vehicle and parts and gasoline stations,7/1/24,528275
,Retail sales and food services excl motor vehicle and parts and gasoline stations,8/1/24,533264
,Retail sales and food services excl motor vehicle and parts and gasoline stations,9/1/24,503627
,Retail sales and food services excl motor vehicle and parts and gasoline stations,10/1/24,538902
,Retail sales and food services excl motor vehicle and parts and gasoline stations,11/1/24,553061
,Retail sales and food services excl motor vehicle and parts and gasoline stations,12/1/24,612612
,"Retail sales, total",1/1/24,552441
,"Retail sales, total",2/1/24,555528
,"Retail sales, total",3/1/24,609462
,"Retail sales, total",4/1/24,605419
,"Retail sales, total",5/1/24,643843
,"Retail sales, total",6/1/24,604360
,"Retail sales, total",7/1/24,629309
,"Retail sales, total",8/1/24,633664
,"Retail sales, total",9/1/24,589777
,"Retail sales, total",10/1/24,633013
,"Retail sales, total",11/1/24,641949
,"Retail sales, total",12/1/24,703832
,"Retail sales, total (excl. motor vehicle and parts dealers)",1/1/24,434494
,"Retail sales, total (excl. motor vehicle and parts dealers)",2/1/24,429232
,"Retail sales, total (excl. motor vehicle and parts dealers)",3/1/24,468935
,"Retail sales, total (excl. motor vehicle and parts dealers)",4/1/24,466709
,"Retail sales, total (excl. motor vehicle and parts dealers)",5/1/24,498979
,"Retail sales, total (excl. motor vehicle and parts dealers)",6/1/24,473736
,"Retail sales, total (excl. motor vehicle and parts dealers)",7/1/24,488953
,"Retail sales, total (excl. motor vehicle and parts dealers)",8/1/24,490227
,"Retail sales, total (excl. motor vehicle and parts dealers)",9/1/24,461309
,"Retail sales, total (excl. motor vehicle and parts dealers)",10/1/24,495225
,"Retail sales, total (excl. motor vehicle and parts dealers)",11/1/24,507737
,"Retail sales, total (excl. motor vehicle and parts dealers)",12/1/24,563555
,GAFO(1),1/1/24,111547
,GAFO(1),2/1/24,115707
,GAFO(1),3/1/24,129000
,GAFO(1),4/1/24,121802
,GAFO(1),5/1/24,134944
,GAFO(1),6/1/24,129215
,GAFO(1),7/1/24,129958
,GAFO(1),8/1/24,137230
,GAFO(1),9/1/24,123313
,GAFO(1),10/1/24,131388
,GAFO(1),11/1/24,144400
,GAFO(1),12/1/24,172895
441,Motor vehicle and parts dealers,1/1/24,117947
441,Motor vehicle and parts dealers,2/1/24,126296
441,Motor vehicle and parts dealers,3/1/24,140527
441,Motor vehicle and parts dealers,4/1/24,138710
441,Motor vehicle and parts dealers,5/1/24,144864
441,Motor vehicle and parts dealers,6/1/24,130624
441,Motor vehicle and parts dealers,7/1/24,140356
441,Motor vehicle and parts dealers,8/1/24,143437
441,Motor vehicle and parts dealers,9/1/24,128468
441,Motor vehicle and parts dealers,10/1/24,137788
441,Motor vehicle and parts dealers,11/1/24,134212
441,Motor vehicle and parts dealers,12/1/24,140277
"4411,4412",Automobile and other motor vehicle dealers,1/1/24,107366
"4411,4412",Automobile and other motor vehicle dealers,2/1/24,115944
"4411,4412",Automobile and other motor vehicle dealers,3/1/24,128903
"4411,4412",Automobile and other motor vehicle dealers,4/1/24,126921
"4411,4412",Automobile and other motor vehicle dealers,5/1/24,132656
"4411,4412",Automobile and other motor vehicle dealers,6/1/24,118881
"4411,4412",Automobile and other motor vehicle dealers,7/1/24,128325
"4411,4412",Automobile and other motor vehicle dealers,8/1/24,131084
"4411,4412",Automobile and other motor vehicle dealers,9/1/24,117141
"4411,4412",Automobile and other motor vehicle dealers,10/1/24,125638
"4411,4412",Automobile and other motor vehicle dealers,11/1/24,122931
"4411,4412",Automobile and other motor vehicle dealers,12/1/24,129378
4411,Automobile dealers,1/1/24,102376
4411,Automobile dealers,2/1/24,109399
4411,Automobile dealers,3/1/24,119945
4411,Automobile dealers,4/1/24,117827
4411,Automobile dealers,5/1/24,122586
4411,Automobile dealers,6/1/24,109412
4411,Automobile dealers,7/1/24,119163
4411,Automobile dealers,8/1/24,122688
4411,Automobile dealers,9/1/24,109901
4411,Automobile dealers,10/1/24,118498
4411,Automobile dealers,11/1/24,116754
4411,Automobile dealers,12/1/24,123587
44111,New car dealers,1/1/24,90514
44111,New car dealers,2/1/24,95883
44111,New car dealers,3/1/24,105692
44111,New car dealers,4/1/24,103876
44111,New car dealers,5/1/24,108436
44111,New car dealers,6/1/24,96318
44111,New car dealers,7/1/24,105392
44111,New car dealers,8/1/24,108560
44111,New car dealers,9/1/24,96915
44111,New car dealers,10/1/24,105358
44111,New car dealers,11/1/24,104327
44111,New car dealers,12/1/24,111285
44112,Used car dealers,1/1/24,11862
44112,Used car dealers,2/1/24,13516
44112,Used car dealers,3/1/24,14253
44112,Used car dealers,4/1/24,13951
44112,Used car dealers,5/1/24,14150
44112,Used car dealers,6/1/24,13094
44112,Used car dealers,7/1/24,13771
44112,Used car dealers,8/1/24,14128
44112,Used car dealers,9/1/24,12986
44112,Used car dealers,10/1/24,13140
44112,Used car dealers,11/1/24,12427
44112,Used car dealers,12/1/24,12302
4413,"Automotive parts, acc., and tire stores",1/1/24,10581
4413,"Automotive parts, acc., and tire stores",2/1/24,10352
4413,"Automotive parts, acc., and tire stores",3/1/24,11624
4413,"Automotive parts, acc., and tire stores",4/1/24,11789
4413,"Automotive parts, acc., and tire stores",5/1/24,12208
4413,"Automotive parts, acc., and tire stores",6/1/24,11743
4413,"Automotive parts, acc., and tire stores",7/1/24,12031
4413,"Automotive parts, acc., and tire stores",8/1/24,12353
4413,"Automotive parts, acc., and tire stores",9/1/24,11327
4413,"Automotive parts, acc., and tire stores",10/1/24,12150
4413,"Automotive parts, acc., and tire stores",11/1/24,11281
4413,"Automotive parts, acc., and tire stores",12/1/24,10899
"442,443","Furniture, home furn, electronics, and appliance stores",1/1/24,17226
"442,443","Furniture, home furn, electronics, and appliance stores",2/1/24,17610
"442,443","Furniture, home furn, electronics, and appliance stores",3/1/24,18230
"442,443","Furniture, home furn, electronics, and appliance stores",4/1/24,17609
"442,443","Furniture, home furn, electronics, and appliance stores",5/1/24,19075
"442,443","Furniture, home furn, electronics, and appliance stores",6/1/24,18107
"442,443","Furniture, home furn, electronics, and appliance stores",7/1/24,19050
"442,443","Furniture, home furn, electronics, and appliance stores",8/1/24,19596
"442,443","Furniture, home furn, electronics, and appliance stores",9/1/24,18298
"442,443","Furniture, home furn, electronics, and appliance stores",10/1/24,18809
"442,443","Furniture, home furn, electronics, and appliance stores",11/1/24,21521
"442,443","Furniture, home furn, electronics, and appliance stores",12/1/24,23226
442,Furniture and home furnishings stores,1/1/24,10032
442,Furniture and home furnishings stores,2/1/24,10343
442,Furniture and home furnishings stores,3/1/24,11022
442,Furniture and home furnishings stores,4/1/24,10635
442,Furniture and home furnishings stores,5/1/24,11431
442,Furniture and home furnishings stores,6/1/24,10826
442,Furniture and home furnishings stores,7/1/24,11391
442,Furniture and home furnishings stores,8/1/24,11941
442,Furniture and home furnishings stores,9/1/24,11285
442,Furniture and home furnishings stores,10/1/24,11446
442,Furniture and home furnishings stores,11/1/24,12580
442,Furniture and home furnishings stores,12/1/24,12699
4421,Furniture stores,1/1/24,5589
4421,Furniture stores,2/1/24,5705
4421,Furniture stores,3/1/24,5995
4421,Furniture stores,4/1/24,5562
4421,Furniture stores,5/1/24,6007
4421,Furniture stores,6/1/24,5885
4421,Furniture stores,7/1/24,6157
4421,Furniture stores,8/1/24,6333
4421,Furniture stores,9/1/24,6097
4421,Furniture stores,10/1/24,6033
4421,Furniture stores,11/1/24,6729
4421,Furniture stores,12/1/24,6776
4422,Home furnishings stores,1/1/24,
4422,Home furnishings stores,2/1/24,
4422,Home furnishings stores,3/1/24,
4422,Home furnishings stores,4/1/24,
4422,Home furnishings stores,5/1/24,
4422,Home furnishings stores,6/1/24,
4422,Home furnishings stores,7/1/24,
4422,Home furnishings stores,8/1/24,
4422,Home furnishings stores,9/1/24,
4422,Home furnishings stores,10/1/24,
4422,Home furnishings stores,11/1/24,
4422,Home furnishings stores,12/1/24,
44221,Floor covering stores,1/1/24,
44221,Floor covering stores,2/1/24,
44221,Floor covering stores,3/1/24,
44221,Floor covering stores,4/1/24,
44221,Floor covering stores,5/1/24,
44221,Floor covering stores,6/1/24,
44221,Floor covering stores,7/1/24,
44221,Floor covering stores,8/1/24,
44221,Floor covering stores,9/1/24,
44221,Floor covering stores,10/1/24,
44221,Floor covering stores,11/1/24,
44221,Floor covering stores,12/1/24,
442299,All other home furnishings stores,1/1/24,
442299,All other home furnishings stores,2/1/24,
442299,All other home furnishings stores,3/1/24,
442299,All other home furnishings stores,4/1/24,
442299,All other home furnishings stores,5/1/24,
442299,All other home furnishings stores,6/1/24,
442299,All other home furnishings stores,7/1/24,
442299,All other home furnishings stores,8/1/24,
442299,All other home furnishings stores,9/1/24,
442299,All other home furnishings stores,10/1/24,
442299,All other home furnishings stores,11/1/24,
442299,All other home furnishings stores,12/1/24,
443,Electronics and appliance stores,1/1/24,7194
443,Electronics and appliance stores,2/1/24,7267
443,Electronics and appliance stores,3/1/24,7208
443,Electronics and appliance stores,4/1/24,6974
443,Electronics and appliance stores,5/1/24,7644
443,Electronics and appliance stores,6/1/24,7281
443,Electronics and appliance stores,7/1/24,7659
443,Electronics and appliance stores,8/1/24,7655
443,Electronics and appliance stores,9/1/24,7013
443,Electronics and appliance stores,10/1/24,7363
443,Electronics and appliance stores,11/1/24,8941
443,Electronics and appliance stores,12/1/24,10527
443141,Household appliance stores,1/1/24,1622
443141,Household appliance stores,2/1/24,1711
443141,Household appliance stores,3/1/24,1769
443141,Household appliance stores,4/1/24,1741
443141,Household appliance stores,5/1/24,1876
443141,Household appliance stores,6/1/24,1858
443141,Household appliance stores,7/1/24,1942
443141,Household appliance stores,8/1/24,1902
443141,Household appliance stores,9/1/24,1761
443141,Household appliance stores,10/1/24,1799
443141,Household appliance stores,11/1/24,1807
443141,Household appliance stores,12/1/24,1773
443142,Electronics stores,1/1/24,5572
443142,Electronics stores,2/1/24,5556
443142,Electronics stores,3/1/24,5439
443142,Electronics stores,4/1/24,5233
443142,Electronics stores,5/1/24,5768
443142,Electronics stores,6/1/24,5423
443142,Electronics stores,7/1/24,5717
443142,Electronics stores,8/1/24,5753
443142,Electronics stores,9/1/24,5252
443142,Electronics stores,10/1/24,5564
443142,Electronics stores,11/1/24,7134
443142,Electronics stores,12/1/24,8754
444,Building mat. and garden equip. and supplies dealers,1/1/24,32796
444,Building mat. and garden equip. and supplies dealers,2/1/24,33820
444,Building mat. and garden equip. and supplies dealers,3/1/24,38696
444,Building mat. and garden equip. and supplies dealers,4/1/24,44866
444,Building mat. and garden equip. and supplies dealers,5/1/24,48452
444,Building mat. and garden equip. and supplies dealers,6/1/24,43795
444,Building mat. and garden equip. and supplies dealers,7/1/24,44088
444,Building mat. and garden equip. and supplies dealers,8/1/24,42930
444,Building mat. and garden equip. and supplies dealers,9/1/24,40357
444,Building mat. and garden equip. and supplies dealers,10/1/24,44987
444,Building mat. and garden equip. and supplies dealers,11/1/24,40098
444,Building mat. and garden equip. and supplies dealers,12/1/24,37095
4441,Building mat. and supplies dealers,1/1/24,28658
4441,Building mat. and supplies dealers,2/1/24,29585
4441,Building mat. and supplies dealers,3/1/24,33298
4441,Building mat. and supplies dealers,4/1/24,38192
4441,Building mat. and supplies dealers,5/1/24,41316
4441,Building mat. and supplies dealers,6/1/24,37893
4441,Building mat. and supplies dealers,7/1/24,39157
4441,Building mat. and supplies dealers,8/1/24,38245
4441,Building mat. and supplies dealers,9/1/24,35683
4441,Building mat. and supplies dealers,10/1/24,39378
4441,Building mat. and supplies dealers,11/1/24,35341
4441,Building mat. and supplies dealers,12/1/24,32076
44412,Paint and wallpaper stores,1/1/24,1158
44412,Paint and wallpaper stores,2/1/24,1273
44412,Paint and wallpaper stores,3/1/24,1417
44412,Paint and wallpaper stores,4/1/24,1563
44412,Paint and wallpaper stores,5/1/24,1650
44412,Paint and wallpaper stores,6/1/24,1597
44412,Paint and wallpaper stores,7/1/24,1632
44412,Paint and wallpaper stores,8/1/24,1668
44412,Paint and wallpaper stores,9/1/24,1525
44412,Paint and wallpaper stores,10/1/24,1618
44412,Paint and wallpaper stores,11/1/24,1272
44412,Paint and wallpaper stores,12/1/24,1151
44413,Hardware stores,1/1/24,3035
44413,Hardware stores,2/1/24,2885
44413,Hardware stores,3/1/24,3271
44413,Hardware stores,4/1/24,3681
44413,Hardware stores,5/1/24,4030
44413,Hardware stores,6/1/24,3862
44413,Hardware stores,7/1/24,3664
44413,Hardware stores,8/1/24,3819
44413,Hardware stores,9/1/24,3337
44413,Hardware stores,10/1/24,3680
44413,Hardware stores,11/1/24,3516
44413,Hardware stores,12/1/24,3409
445,Food and beverage stores,1/1/24,79813
445,Food and beverage stores,2/1/24,76955
445,Food and beverage stores,3/1/24,83248
445,Food and beverage stores,4/1/24,78846
445,Food and beverage stores,5/1/24,85908
445,Food and beverage stores,6/1/24,82828
445,Food and beverage stores,7/1/24,85233
445,Food and beverage stores,8/1/24,85262
445,Food and beverage stores,9/1/24,81116
445,Food and beverage stores,10/1/24,84687
445,Food and beverage stores,11/1/24,86042
445,Food and beverage stores,12/1/24,90609
4451,Grocery stores,1/1/24,72636
4451,Grocery stores,2/1/24,69307
4451,Grocery stores,3/1/24,74795
4451,Grocery stores,4/1/24,70765
4451,Grocery stores,5/1/24,76837
4451,Grocery stores,6/1/24,73990
4451,Grocery stores,7/1/24,76240
4451,Grocery stores,8/1/24,76348
4451,Grocery stores,9/1/24,72811
4451,Grocery stores,10/1/24,75931
4451,Grocery stores,11/1/24,76589
4451,Grocery stores,12/1/24,78886
44511,Supermarkets and other grocery (except convenience) stores,1/1/24,69450
44511,Supermarkets and other grocery (except convenience) stores,2/1/24,66099
44511,Supermarkets and other grocery (except convenience) stores,3/1/24,71342
44511,Supermarkets and other grocery (except convenience) stores,4/1/24,67223
44511,Supermarkets and other grocery (except convenience) stores,5/1/24,73068
44511,Supermarkets and other grocery (except convenience) stores,6/1/24,70383
44511,Supermarkets and other grocery (except convenience) stores,7/1/24,72737
44511,Supermarkets and other grocery (except convenience) stores,8/1/24,72877
44511,Supermarkets and other grocery (except convenience) stores,9/1/24,69663
44511,Supermarkets and other grocery (except convenience) stores,10/1/24,72693
44511,Supermarkets and other grocery (except convenience) stores,11/1/24,73585
44511,Supermarkets and other grocery (except convenience) stores,12/1/24,75771
4453,"Beer, wine, and liquor stores",1/1/24,5007
4453,"Beer, wine, and liquor stores",2/1/24,5360
4453,"Beer, wine, and liquor stores",3/1/24,5876
4453,"Beer, wine, and liquor stores",4/1/24,5646
4453,"Beer, wine, and liquor stores",5/1/24,6385
4453,"Beer, wine, and liquor stores",6/1/24,6273
4453,"Beer, wine, and liquor stores",7/1/24,6375
4453,"Beer, wine, and liquor stores",8/1/24,6324
4453,"Beer, wine, and liquor stores",9/1/24,5768
4453,"Beer, wine, and liquor stores",10/1/24,6104
4453,"Beer, wine, and liquor stores",11/1/24,6577
4453,"Beer, wine, and liquor stores",12/1/24,8006
446,Health and personal care stores,1/1/24,36394
446,Health and personal care stores,2/1/24,34588
446,Health and personal care stores,3/1/24,36238
446,Health and personal care stores,4/1/24,35467
446,Health and personal care stores,5/1/24,37256
446,Health and personal care stores,6/1/24,35656
446,Health and personal care stores,7/1/24,37342
446,Health and personal care stores,8/1/24,38044
446,Health and personal care stores,9/1/24,37655
446,Health and personal care stores,10/1/24,39693
446,Health and personal care stores,11/1/24,37674
446,Health and personal care stores,12/1/24,43127
44611,Pharmacies and drug stores,1/1/24,31026
44611,Pharmacies and drug stores,2/1/24,28883
44611,Pharmacies and drug stores,3/1/24,29894
44611,Pharmacies and drug stores,4/1/24,29687
44611,Pharmacies and drug stores,5/1/24,31139
44611,Pharmacies and drug stores,6/1/24,29587
44611,Pharmacies and drug stores,7/1/24,31642
44611,Pharmacies and drug stores,8/1/24,31834
44611,Pharmacies and drug stores,9/1/24,31867
44611,Pharmacies and drug stores,10/1/24,33963
44611,Pharmacies and drug stores,11/1/24,31439
44611,Pharmacies and drug stores,12/1/24,34851
447,Gasoline stations,1/1/24,46405
447,Gasoline stations,2/1/24,47363
447,Gasoline stations,3/1/24,53048
447,Gasoline stations,4/1/24,54936
447,Gasoline stations,5/1/24,57608
447,Gasoline stations,6/1/24,55323
447,Gasoline stations,7/1/24,57467
447,Gasoline stations,8/1/24,56859
447,Gasoline stations,9/1/24,51463
447,Gasoline stations,10/1/24,54030
447,Gasoline stations,11/1/24,49188
447,Gasoline stations,12/1/24,48405
448,Clothing and clothing access. stores,1/1/24,19188
448,Clothing and clothing access. stores,2/1/24,22005
448,Clothing and clothing access. stores,3/1/24,24986
448,Clothing and clothing access. stores,4/1/24,23993
448,Clothing and clothing access. stores,5/1/24,27562
448,Clothing and clothing access. stores,6/1/24,25121
448,Clothing and clothing access. stores,7/1/24,25453
448,Clothing and clothing access. stores,8/1/24,27215
448,Clothing and clothing access. stores,9/1/24,23088
448,Clothing and clothing access. stores,10/1/24,25318
448,Clothing and clothing access. stores,11/1/24,29762
448,Clothing and clothing access. stores,12/1/24,41273
4481,Clothing stores,1/1/24,13579
4481,Clothing stores,2/1/24,15100
4481,Clothing stores,3/1/24,18060
4481,Clothing stores,4/1/24,17324
4481,Clothing stores,5/1/24,19691
4481,Clothing stores,6/1/24,18126
4481,Clothing stores,7/1/24,18266
4481,Clothing stores,8/1/24,19340
4481,Clothing stores,9/1/24,16548
4481,Clothing stores,10/1/24,18357
4481,Clothing stores,11/1/24,22012
4481,Clothing stores,12/1/24,27517
44811,Men's clothing stores,1/1/24,
44811,Men's clothing stores,2/1/24,
44811,Men's clothing stores,3/1/24,
44811,Men's clothing stores,4/1/24,
44811,Men's clothing stores,5/1/24,
44811,Men's clothing stores,6/1/24,
44811,Men's clothing stores,7/1/24,
44811,Men's clothing stores,8/1/24,
44811,Men's clothing stores,9/1/24,
44811,Men's clothing stores,10/1/24,
44811,Men's clothing stores,11/1/24,
44811,Men's clothing stores,12/1/24,
44812,Women's clothing stores,1/1/24,2265
44812,Women's clothing stores,2/1/24,2650
44812,Women's clothing stores,3/1/24,3235
44812,Women's clothing stores,4/1/24,3052
44812,Women's clothing stores,5/1/24,3416
44812,Women's clothing stores,6/1/24,2845
44812,Women's clothing stores,7/1/24,2932
44812,Women's clothing stores,8/1/24,3057
44812,Women's clothing stores,9/1/24,2678
44812,Women's clothing stores,10/1/24,2933
44812,Women's clothing stores,11/1/24,3562
44812,Women's clothing stores,12/1/24,3968
44814,Family clothing stores,1/1/24,7725
44814,Family clothing stores,2/1/24,8566
44814,Family clothing stores,3/1/24,10454
44814,Family clothing stores,4/1/24,10067
44814,Family clothing stores,5/1/24,11542
44814,Family clothing stores,6/1/24,10921
44814,Family clothing stores,7/1/24,11085
44814,Family clothing stores,8/1/24,11808
44814,Family clothing stores,9/1/24,9956
44814,Family clothing stores,10/1/24,11185
44814,Family clothing stores,11/1/24,13711
44814,Family clothing stores,12/1/24,17048
44819,Other clothing stores,1/1/24,1550
44819,Other clothing stores,2/1/24,1547
44819,Other clothing stores,3/1/24,1740
44819,Other clothing stores,4/1/24,1601
44819,Other clothing stores,5/1/24,1763
44819,Other clothing stores,6/1/24,1840
44819,Other clothing stores,7/1/24,1767
44819,Other clothing stores,8/1/24,1879
44819,Other clothing stores,9/1/24,1515
44819,Other clothing stores,10/1/24,1603
44819,Other clothing stores,11/1/24,1749
44819,Other clothing stores,12/1/24,2263
4482,Shoe stores,1/1/24,2241
4482,Shoe stores,2/1/24,2774
4482,Shoe stores,3/1/24,3179
4482,Shoe stores,4/1/24,2902
4482,Shoe stores,5/1/24,3224
4482,Shoe stores,6/1/24,2969
4482,Shoe stores,7/1/24,3462
4482,Shoe stores,8/1/24,4067
4482,Shoe stores,9/1/24,2720
4482,Shoe stores,10/1/24,2833
4482,Shoe stores,11/1/24,3278
4482,Shoe stores,12/1/24,4550
44831,Jewelry stores,1/1/24,
44831,Jewelry stores,2/1/24,
44831,Jewelry stores,3/1/24,
44831,Jewelry stores,4/1/24,
44831,Jewelry stores,5/1/24,
44831,Jewelry stores,6/1/24,
44831,Jewelry stores,7/1/24,
44831,Jewelry stores,8/1/24,
44831,Jewelry stores,9/1/24,
44831,Jewelry stores,10/1/24,
44831,Jewelry stores,11/1/24,
44831,Jewelry stores,12/1/24,
451,"Sporting goods, hobby, musical instrument, and book stores",1/1/24,7087
451,"Sporting goods, hobby, musical instrument, and book stores",2/1/24,6891
451,"Sporting goods, hobby, musical instrument, and book stores",3/1/24,7992
451,"Sporting goods, hobby, musical instrument, and book stores",4/1/24,7332
451,"Sporting goods, hobby, musical instrument, and book stores",5/1/24,8020
451,"Sporting goods, hobby, musical instrument, and book stores",6/1/24,8152
451,"Sporting goods, hobby, musical instrument, and book stores",7/1/24,7998
451,"Sporting goods, hobby, musical instrument, and book stores",8/1/24,8893
451,"Sporting goods, hobby, musical instrument, and book stores",9/1/24,7761
451,"Sporting goods, hobby, musical instrument, and book stores",10/1/24,7867
451,"Sporting goods, hobby, musical instrument, and book stores",11/1/24,9337
451,"Sporting goods, hobby, musical instrument, and book stores",12/1/24,12007
45111,Sporting goods stores,1/1/24,4061
45111,Sporting goods stores,2/1/24,4126
45111,Sporting goods stores,3/1/24,4991
45111,Sporting goods stores,4/1/24,4573
45111,Sporting goods stores,5/1/24,5128
45111,Sporting goods stores,6/1/24,5399
45111,Sporting goods stores,7/1/24,5210
45111,Sporting goods stores,8/1/24,5539
45111,Sporting goods stores,9/1/24,4565
45111,Sporting goods stores,10/1/24,4610
45111,Sporting goods stores,11/1/24,5018
45111,Sporting goods stores,12/1/24,7064
45112,"Hobby, toy, and game stores",1/1/24,1504
45112,"Hobby, toy, and game stores",2/1/24,1519
45112,"Hobby, toy, and game stores",3/1/24,1669
45112,"Hobby, toy, and game stores",4/1/24,1470
45112,"Hobby, toy, and game stores",5/1/24,1544
45112,"Hobby, toy, and game stores",6/1/24,1488
45112,"Hobby, toy, and game stores",7/1/24,1513
45112,"Hobby, toy, and game stores",8/1/24,1692
45112,"Hobby, toy, and game stores",9/1/24,1669
45112,"Hobby, toy, and game stores",10/1/24,1874
45112,"Hobby, toy, and game stores",11/1/24,2904
45112,"Hobby, toy, and game stores",12/1/24,2992
451211,Book stores,1/1/24,802
451211,Book stores,2/1/24,559
451211,Book stores,3/1/24,596
451211,Book stores,4/1/24,596
451211,Book stores,5/1/24,634
451211,Book stores,6/1/24,593
451211,Book stores,7/1/24,587
451211,Book stores,8/1/24,881
451211,Book stores,9/1/24,772
451211,Book stores,10/1/24,590
451211,Book stores,11/1/24,605
451211,Book stores,12/1/24,1050
452,General merchandise stores,1/1/24,66153
452,General merchandise stores,2/1/24,67287
452,General merchandise stores,3/1/24,75692
452,General merchandise stores,4/1/24,70741
452,General merchandise stores,5/1/24,77840
452,General merchandise stores,6/1/24,75183
452,General merchandise stores,7/1/24,74852
452,General merchandise stores,8/1/24,78633
452,General merchandise stores,9/1/24,71583
452,General merchandise stores,10/1/24,76276
452,General merchandise stores,11/1/24,81588
452,General merchandise stores,12/1/24,93360
4521,Department stores,1/1/24,8884
4521,Department stores,2/1/24,9513
4521,Department stores,3/1/24,10485
4521,Department stores,4/1/24,9871
4521,Department stores,5/1/24,11054
4521,Department stores,6/1/24,10569
4521,Department stores,7/1/24,10440
4521,Department stores,8/1/24,11398
4521,Department stores,9/1/24,9870
4521,Department stores,10/1/24,10448
4521,Department stores,11/1/24,12207
4521,Department stores,12/1/24,16198
452111,Department stores(excl. discount department stores),1/1/24,1679
452111,Department stores(excl. discount department stores),2/1/24,2134
452111,Department stores(excl. discount department stores),3/1/24,2317
452111,Department stores(excl. discount department stores),4/1/24,2332
452111,Department stores(excl. discount department stores),5/1/24,2643
452111,Department stores(excl. discount department stores),6/1/24,2339
452111,Department stores(excl. discount department stores),7/1/24,2123
452111,Department stores(excl. discount department stores),8/1/24,2262
452111,Department stores(excl. discount department stores),9/1/24,2184
452111,Department stores(excl. discount department stores),10/1/24,2305
452111,Department stores(excl. discount department stores),11/1/24,3099
452111,Department stores(excl. discount department stores),12/1/24,4562
452112,Discount dept. stores,1/1/24,7205
452112,Discount dept. stores,2/1/24,7379
452112,Discount dept. stores,3/1/24,8168
452112,Discount dept. stores,4/1/24,7539
452112,Discount dept. stores,5/1/24,8411
452112,Discount dept. stores,6/1/24,8230
452112,Discount dept. stores,7/1/24,8317
452112,Discount dept. stores,8/1/24,9136
452112,Discount dept. stores,9/1/24,7686
452112,Discount dept. stores,10/1/24,8143
452112,Discount dept. stores,11/1/24,9108
452112,Discount dept. stores,12/1/24,11636
4529,Other general merchandise stores,1/1/24,57269
4529,Other general merchandise stores,2/1/24,57774
4529,Other general merchandise stores,3/1/24,65207
4529,Other general merchandise stores,4/1/24,60870
4529,Other general merchandise stores,5/1/24,66786
4529,Other general merchandise stores,6/1/24,64614
4529,Other general merchandise stores,7/1/24,64412
4529,Other general merchandise stores,8/1/24,67235
4529,Other general merchandise stores,9/1/24,61713
4529,Other general merchandise stores,10/1/24,65828
4529,Other general merchandise stores,11/1/24,69381
4529,Other general merchandise stores,12/1/24,77162
45291,Warehouse clubs and superstores,1/1/24,49320
45291,Warehouse clubs and superstores,2/1/24,49609
45291,Warehouse clubs and superstores,3/1/24,56073
45291,Warehouse clubs and superstores,4/1/24,52046
45291,Warehouse clubs and superstores,5/1/24,57041
45291,Warehouse clubs and superstores,6/1/24,55582
45291,Warehouse clubs and superstores,7/1/24,55711
45291,Warehouse clubs and superstores,8/1/24,58183
